epoch,accuracy,learning_rate,loss,top_k_accuracy,val_accuracy,val_loss,val_top_k_accuracy
0,0.30354899168014526,0.004999999888241291,2.2914717197418213,0.5013347864151001,0.3892045319080353,1.8431968688964844,0.6413352489471436
1,0.3693467378616333,0.004999999888241291,1.92045259475708,0.601523220539093,0.44034090638160706,1.7090758085250854,0.6626420617103577
2,0.38748428225517273,0.004999999888241291,1.8410618305206299,0.6185615658760071,0.45028409361839294,1.6648987531661987,0.6690340638160706
3,0.4015389382839203,0.004999999888241291,1.8062233924865723,0.6286118030548096,0.4751420319080353,1.6266525983810425,0.6697443127632141
4,0.4024026393890381,0.004999999888241291,1.8095215559005737,0.6289258599281311,0.4595170319080353,1.6413081884384155,0.6747159361839294
5,0.403658926486969,0.004999999888241291,1.7968703508377075,0.6261777877807617,0.4566761255264282,1.6041392087936401,0.6725852489471436
6,0.4023241102695465,0.004999999888241291,1.796480417251587,0.6290044188499451,0.4588068127632141,1.6143730878829956,0.6846590638160706
7,0.39996859431266785,0.004999999888241291,1.7885876893997192,0.6264918446540833,0.4573863744735718,1.6133002042770386,0.6683238744735718
8,0.4085270166397095,0.004999999888241291,1.782373309135437,0.6311243772506714,0.4467329680919647,1.6319829225540161,0.6818181872367859
9,0.4111180901527405,0.004999999888241291,1.77618408203125,0.6374843120574951,0.46164771914482117,1.6435096263885498,0.6654829382896423
0,0.4510050117969513,0.0005000000237487257,1.631667971611023,0.6776067614555359,0.4389204680919647,1.648769497871399,0.6548295617103577
1,0.5135050415992737,0.0005000000237487257,1.390677571296692,0.7320194840431213,0.45596590638160706,1.4150128364562988,0.7066761255264282
2,0.5453831553459167,0.0005000000237487257,1.292224407196045,0.7496859431266785,0.4907670319080353,1.3400696516036987,0.7173295617103577
3,0.5701162219047546,0.0005000000237487257,1.217713475227356,0.7737123370170593,0.5383522510528564,1.2729783058166504,0.7201704382896423
4,0.5861337780952454,0.0005000000237487257,1.1866999864578247,0.7788159251213074,0.5994318127632141,1.1028951406478882,0.78125
5,0.6072550415992737,0.0005000000237487257,1.1283860206604004,0.7896513938903809,0.5710227489471436,1.1608434915542603,0.7876420617103577
6,0.6128297448158264,0.0005000000237487257,1.1129891872406006,0.7953831553459167,0.6136363744735718,1.033861517906189,0.8082386255264282
7,0.630182147026062,0.0005000000237487257,1.0654016733169556,0.8114792704582214,0.6491477489471436,1.0060747861862183,0.8032670617103577
8,0.6319095492362976,0.0005000000237487257,1.059162974357605,0.8095948696136475,0.6889204382896423,0.8938122391700745,0.8522727489471436
