epoch,accuracy,learning_rate,loss,top_k_accuracy,val_accuracy,val_loss,val_top_k_accuracy
0,0.25675252079963684,0.004999999888241291,2.6338095664978027,0.42823493480682373,0.33309659361839294,2.287553071975708,0.5099431872367859
1,0.3351915776729584,0.004999999888241291,2.218595504760742,0.5268530249595642,0.3401988744735718,2.1560258865356445,0.5198863744735718
2,0.3527795374393463,0.004999999888241291,2.1403963565826416,0.5542556643486023,0.36789771914482117,2.128113031387329,0.5447443127632141
0,0.26538944244384766,0.004999999888241291,2.624070167541504,0.43161118030548096,0.30184659361839294,2.3954458236694336,0.4701704680919647
1,0.3373115658760071,0.004999999888241291,2.215858221054077,0.5325847864151001,0.3480113744735718,2.1830263137817383,0.5333806872367859
2,0.35215139389038086,0.004999999888241291,2.1531550884246826,0.5522927045822144,0.3529829680919647,2.173246145248413,0.5326704382896423
3,0.3533291518688202,0.004999999888241291,2.1211605072021484,0.5550408363342285,0.3828125,2.0730621814727783,0.5603693127632141
4,0.3506595492362976,0.004999999888241291,2.112975597381592,0.55402010679245,0.3813920319080353,2.0773212909698486,0.5731534361839294
5,0.35623428225517273,0.004999999888241291,2.1021029949188232,0.5644629597663879,0.3529829680919647,2.1596925258636475,0.5276988744735718
6,0.3601601719856262,0.004999999888241291,2.095041513442993,0.5614007711410522,0.3607954680919647,2.0899641513824463,0.5404829382896423
7,0.35733354091644287,0.004999999888241291,2.071469783782959,0.5606940984725952,0.35440340638160706,2.120429754257202,0.5276988744735718
8,0.36440011858940125,0.004999999888241291,2.065720319747925,0.5656406879425049,0.36789771914482117,2.056894063949585,0.5490056872367859
9,0.36314383149147034,0.004999999888241291,2.0519771575927734,0.5681532621383667,0.3785511255264282,2.082012414932251,0.5397727489471436
0,0.45893529057502747,0.0005000000237487257,1.7345116138458252,0.6719534993171692,0.5894886255264282,1.3495192527770996,0.8004261255264282
1,0.5454616546630859,0.0005000000237487257,1.4059652090072632,0.7473304271697998,0.6036931872367859,1.2310761213302612,0.7862215638160706
2,0.5828360319137573,0.0005000000237487257,1.2615629434585571,0.7774811387062073,0.6669034361839294,1.0565181970596313,0.8302556872367859
3,0.6133794188499451,0.0005000000237487257,1.1660573482513428,0.7941268682479858,0.6732954382896423,0.9824861288070679,0.8458806872367859
4,0.6340295076370239,0.0005000000237487257,1.1045551300048828,0.809202253818512,0.6477272510528564,0.9925844669342041,0.8288352489471436
5,0.6494189500808716,0.0005000000237487257,1.053113579750061,0.824827253818512,0.7066761255264282,0.88079833984375,0.8657670617103577
6,0.66472989320755,0.0005000000237487257,1.0176246166229248,0.8343278765678406,0.6995738744735718,0.8486146926879883,0.8799715638160706
7,0.6805904507637024,0.0005000000237487257,0.9908731579780579,0.8405307531356812,0.7237215638160706,0.8443444967269897,0.8792613744735718
8,0.6852229833602905,0.0005000000237487257,0.9684550166130066,0.8464981317520142,0.7144886255264282,0.8801391124725342,0.8678977489471436
9,0.7020257711410522,0.0005000000237487257,0.9332009553909302,0.8540357947349548,0.7265625,0.8268241286277771,0.8856534361839294
10,0.7132537961006165,0.0005000000237487257,0.9073445200920105,0.8618875741958618,0.7365056872367859,0.7910611629486084,0.8856534361839294
11,0.7174937129020691,0.0005000000237487257,0.8978546261787415,0.870445966720581,0.7507102489471436,0.8044723868370056,0.8884943127632141
12,0.7273083925247192,0.0005000000237487257,0.8797330856323242,0.8702889680862427,0.765625,0.7562334537506104,0.9090909361839294
13,0.7329616546630859,0.0005000000237487257,0.8563267588615417,0.8776695728302002,0.7649147510528564,0.7298271059989929,0.9169034361839294
14,0.7442682385444641,0.0005000000237487257,0.8304944038391113,0.8819095492362976,0.7542613744735718,0.7712740302085876,0.8991477489471436
15,0.7493718862533569,0.0005000000237487257,0.8125877976417542,0.8868561387062073,0.7634943127632141,0.7484180927276611,0.9048295617103577
16,0.7564384341239929,0.0005000000237487257,0.800496518611908,0.8874843120574951,0.7059659361839294,0.8983610272407532,0.8529829382896423
17,0.7636620402336121,0.0005000000237487257,0.7831423878669739,0.8934516310691833,0.7521306872367859,0.7669048309326172,0.8934659361839294
18,0.7614635825157166,0.0005000000237487257,0.774295449256897,0.8955715894699097,0.7805397510528564,0.6693007946014404,0.9069602489471436
19,0.7691583037376404,0.0005000000237487257,0.7604749798774719,0.8962782621383667,0.7549715638160706,0.7769030928611755,0.8934659361839294
20,0.7796796560287476,0.0005000000237487257,0.7345918416976929,0.9045225977897644,0.7549715638160706,0.7628837823867798,0.8934659361839294
21,0.7889447212219238,0.0005000000237487257,0.7168834209442139,0.9077418446540833,0.7784090638160706,0.6986412405967712,0.9012784361839294
22,0.794283926486969,0.0005000000237487257,0.7012401819229126,0.912138819694519,0.7642045617103577,0.7170146107673645,0.9176136255264282
23,0.7945194840431213,0.0005000000237487257,0.6879421472549438,0.9104114174842834,0.7741477489471436,0.6927967071533203,0.921875
24,0.7972676157951355,0.0005000000237487257,0.6791830658912659,0.9126884341239929,0.7578125,0.7508495450019836,0.9019886255264282
25,0.8160333037376404,0.0003000000142492354,0.6235666871070862,0.9249371886253357,0.8068181872367859,0.6341198682785034,0.9240056872367859
26,0.8242776393890381,0.0003000000142492354,0.587772011756897,0.929726779460907,0.7919034361839294,0.633799135684967,0.9254261255264282
27,0.8356626629829407,0.0003000000142492354,0.5671532154083252,0.9315326809883118,0.8032670617103577,0.6206321120262146,0.9183238744735718
28,0.8417870402336121,0.0003000000142492354,0.5461747646331787,0.9372644424438477,0.8096590638160706,0.6104117631912231,0.9240056872367859
29,0.8403737545013428,0.0003000000142492354,0.5356579422950745,0.9396199584007263,0.7990056872367859,0.610148012638092,0.9232954382896423
30,0.8510521650314331,0.0003000000142492354,0.5147886276245117,0.9415829181671143,0.8125,0.6361980438232422,0.9232954382896423
31,0.8535646796226501,0.0003000000142492354,0.5056212544441223,0.9424465894699097,0.8181818127632141,0.586568295955658,0.9311079382896423
32,0.8501884341239929,0.0003000000142492354,0.5158230066299438,0.9415044188499451,0.7990056872367859,0.6258857250213623,0.9225852489471436
33,0.8561557531356812,0.0003000000142492354,0.49254992604255676,0.9433103203773499,0.8110795617103577,0.6259120106697083,0.9211647510528564
34,0.863850474357605,0.0003000000142492354,0.47475340962409973,0.9491205811500549,0.8117897510528564,0.6423688530921936,0.9190340638160706
35,0.8640860319137573,0.0003000000142492354,0.4694635570049286,0.9508479833602905,0.8117897510528564,0.5863671898841858,0.9303977489471436
36,0.86785489320755,0.0003000000142492354,0.4614200294017792,0.9502983689308167,0.7990056872367859,0.6559968590736389,0.921875
37,0.872408926486969,0.0003000000142492354,0.4509236216545105,0.9536746144294739,0.8203125,0.5964524745941162,0.9303977489471436
38,0.8772770166397095,0.0003000000142492354,0.43998903036117554,0.9555590748786926,0.8146306872367859,0.6313000321388245,0.9225852489471436
39,0.875,0.0003000000142492354,0.440365195274353,0.9527323842048645,0.8231534361839294,0.6244810223579407,0.9339488744735718
