epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.5402777791023254,0.004999999888241291,0.6956549286842346,0.527999997138977,0.7153576016426086
1,0.6128888726234436,0.004999999888241291,0.6573138236999512,0.6100000143051147,0.6924139261245728
2,0.6542222499847412,0.004999999888241291,0.6264607310295105,0.6754999756813049,0.5965339541435242
3,0.6761666536331177,0.004999999888241291,0.6093710660934448,0.6570000052452087,0.6254333257675171
4,0.6874444484710693,0.004999999888241291,0.5987358689308167,0.7120000123977661,0.5686385631561279
5,0.6996111273765564,0.004999999888241291,0.5834090113639832,0.6725000143051147,0.6046680212020874
6,0.704277753829956,0.004999999888241291,0.5772403478622437,0.7415000200271606,0.5273284316062927
7,0.7137777805328369,0.004999999888241291,0.5702714920043945,0.7250000238418579,0.5334053635597229
8,0.7204999923706055,0.004999999888241291,0.5595216155052185,0.7269999980926514,0.5370551347732544
9,0.7318333387374878,0.004999999888241291,0.5500213503837585,0.7214999794960022,0.5510305166244507
10,0.7369444370269775,0.004999999888241291,0.5399336814880371,0.6880000233650208,0.5997162461280823
11,0.7426666617393494,0.004999999888241291,0.530177652835846,0.7829999923706055,0.4516235589981079
12,0.7508333325386047,0.004999999888241291,0.5220323801040649,0.8009999990463257,0.4342550039291382
13,0.7567222118377686,0.004999999888241291,0.5144924521446228,0.7720000147819519,0.4587482213973999
14,0.7609999775886536,0.004999999888241291,0.5086750984191895,0.7854999899864197,0.4574967920780182
15,0.7665555477142334,0.004999999888241291,0.4965168237686157,0.7854999899864197,0.4619826674461365
16,0.7717221975326538,0.004999999888241291,0.4904400408267975,0.8190000057220459,0.3900219202041626
